Artist,Album,Song,Year,Lyrics
The National,Sleep Well Beast,Nobody Else Will Be There,0,"<div class=""lyrics"">
<!--sse-->
<p>[Verse 1]<br/>
You said we're not so tied together<br/>
What did you mean?<br/>
Meet me in the stairwell in a second<br/>
For a glass of gin<br/>
<br/>
[Chorus]<br/>
Nobody else will be there then<br/>
Nobody else will be there<br/>
Nobody else will be there then<br/>
Nobody else will be there<br/>
<br/>
[Verse 2]<br/>
Can you remind me the building you live in<br/>
I'm on my way<br/>
It's getting cold again but New York's gorgeous<br/>
It's a subway day<br/>
<br/>
[Chorus]<br/>
Nobody else will be there then<br/>
Nobody else will be there<br/>
Nobody else will be there then<br/>
Nobody else will be there<br/>
<br/>
[Verse 3]<br/>
Why are we still out here?<br/>
Holding our coats<br/>
We look like children<br/>
Goodbyes always take us half an hour<br/>
Can't we just go home?<br/>
<br/>
[Verse 4]<br/>
Hey baby, where were you back there<br/>
When I needed your help?<br/>
I thought that if I stuck my neck out<br/>
I'd get you out of your shell<br/>
My faith is sick and my skin is thin as ever<br/>
I need you alone<br/>
Goodbyes always take us half an hour<br/>
Can't we just go home?<br/>
<br/>
[Chorus]<br/>
Nobody else will be there then<br/>
Nobody else will be there<br/>
Nobody else will be there then<br/>
Nobody else will be there</p>
<!--/sse-->
</div>"
The National,Sleep Well Beast,Day I Die,0,"<div class=""lyrics"">
<!--sse-->
<p>[Verse 1]<br/>
I don't need you, I don't need you<br/>
Besides I barely ever see you anymore<br/>
And when I do it feels like you're only halfway there<br/>
Young mothers love me even ghosts of<br/>
Girlfriends call from Cleveland<br/>
They will meet me anytime and anywhere<br/>
<br/>
[Chorus]<br/>
The day I die, the day I die<br/>
Where will we be?<br/>
The day I die, the day I die<br/>
Where will we be?<br/>
<br/>
[Verse 2]<br/>
Don't do this, I don't do this to you<br/>
Don't expect me to enjoy it<br/>
'Cause I really don't have the courage not to turn the volume up inside my ears<br/>
For years I used to put my head inside the speakers<br/>
In the hallway when you get too high and talk forever<br/>
<br/>
[Chorus]<br/>
The day I die, the day I die<br/>
Where will we be?<br/>
The day I die, the day I die<br/>
Where will we be?<br/>
<br/>
The day I die, the day I die<br/>
Where will we be?<br/>
The day I die, the day I die<br/>
Where will we be?<br/>
<br/>
[Verse 3]<br/>
I get a little punchy with the vodka just like my great uncle Valentine Jester did<br/>
But he had to deal with those people like you who made no goddamn common sense<br/>
I’d rather walk all the way home right now than to spend one more second in this place<br/>
I’m exactly like you Valentine, just come outside and leave with me<br/>
<br/>
[Bridge]<br/>
Let's just get high enough to see our problems<br/>
Let’s just get high enough to see our fathers’ houses<br/>
<br/>
[Chorus]<br/>
The day I die, the day I die<br/>
Where will we be?<br/>
The day I die, the day I die<br/>
Where will we be?<br/>
<br/>
The day I die, the day I die<br/>
Where will we be?<br/>
The day I die, the day I die<br/>
Where will we be?</p>
<!--/sse-->
</div>"
The National,Sleep Well Beast,Walk It Back,0,"<div class=""lyrics"">
<!--sse-->
<p>[Verse 1]<br/>
I’m always thinking about useless things<br/>
I’m always checking out<br/>
I’m always mothering myself to bits<br/>
I’m always checking out<br/>
<br/>
[Pre-Chorus]<br/>
Forget it, nothing I change changes anything<br/>
I won't let it, I won't let it ruin my hair<br/>
<br/>
[Chorus]<br/>
I only take up a little of the collapsing space<br/>
I better cut this off<br/>
Don’t wanna fuck it up<br/>
I only take up a little of the collapsing space<br/>
I better cut this off<br/>
Don’t wanna fuck up the place<br/>
<br/>
I better walk it back, walk it back<br/>
Oh, I better walk it back, walk it back<br/>
Walk it back, walk it back<br/>
<br/>
[Verse 2]<br/>
I try to save it for a rainy day<br/>
It’s raining all the time<br/>
Until everything is less insane<br/>
I’m mixing weed with wine<br/>
<br/>
[Pre-Chorus]<br/>
Forget it, nothing I change changes anything<br/>
I won't let it, I won't let it ruin my hair<br/>
<br/>
[Chorus]<br/>
I only take up a little of the collapsing space<br/>
I better cut this off<br/>
Don’t wanna fuck it up<br/>
I only take up a little of the collapsing space<br/>
I better cut this off<br/>
Don’t wanna fuck up the place<br/>
<br/>
I better walk it back, walk it back<br/>
Oh, I better walk it back, walk it back<br/>
Walk it back, walk it back<br/>
Oh, I better walk it back, walk it back<br/>
Walk it back, walk it back<br/>
Oh, I better walk it back, walk it back<br/>
Walk it back, walk it back<br/>
<br/>
[Instrumental part]<br/>
<br/>
[Sampled speech]<br/>
""People like you are still living in what we call the reality-based community.  You believe that solutions emerge from your judicious study of discernible reality. That's not the way the world really works anymore. We're an empire now, and when we act, we create our own reality. And while you are studying that reality - judiciously, as you will - we'll act again, creating other new realities, which you can study too, and that's how things will sort out.  We're history's actors, and you, all of you, will be left to just study what we do<br/>
<br/>
Apparently that was written on a whiteboard with a red sharpie in the Roosevelt bedroom, sometime around Christmas 2007. Yeah, so I can't stay...""<br/>
<br/>
[Outro]<br/>
I can't stay and I can't come back<br/>
I'll just keep awake<br/>
And I won't react<br/>
I'll walk through Lawrencetown<br/>
Along the tracks<br/>
My own body in my arms<br/>
But I won't collapse<br/>
So don't go dark on me<br/>
It's all alright<br/>
If I'm gonna get back to you, someday<br/>
I'll need your light</p>
<!--/sse-->
</div>"
The National,Sleep Well Beast,The System Only Dreams In Total Darkness,0,"<div class=""lyrics"">
<!--sse-->
<p>[Verse 1]<br/>
Maybe I listen more than you think<br/>
And I can tell that somebody sold you<br/>
We said we’d never let anyone in<br/>
We said we’d only die of lonely secrets<br/>
<br/>
[Pre-Chorus]<br/>
The system only dreams in total darkness<br/>
Why are you hiding from me?<br/>
We’re in a different kind of thing now<br/>
All night you’re talking to God<br/>
<br/>
[Verse 2]<br/>
I thought that this would all work out after a while<br/>
Now you’re saying that I’m asking for too much attention<br/>
Also no other faith is light enough for this place<br/>
We said we’d only die of lonely secrets<br/>
<br/>
[Pre-Chorus]<br/>
The system only dreams in total darkness<br/>
Why are you hiding from me?<br/>
We’re in a different kind of thing now<br/>
All night you’re talking to God<br/>
<br/>
[Chorus]<br/>
I can't explain it<br/>
Any other, any other way<br/>
I cannot explain it<br/>
Any other, any other way<br/>
<br/>
[Pre-Chorus]<br/>
The system only dreams in total darkness<br/>
Why are you hiding from me?<br/>
We’re in a different kind of thing now<br/>
All night you’re talking to God<br/>
<br/>
[Chorus]<br/>
I can't explain it<br/>
Any other, any other way<br/>
I can't explain it<br/>
Any other, any other way<br/>
I can't explain it<br/>
Any other, any other way<br/>
I can't explain it<br/>
Any other, any other way</p>
<!--/sse-->
</div>"
The National,Sleep Well Beast,Born To Beg,0,"<div class=""lyrics"">
<!--sse-->
<p>[Verse 1]<br/>
Crushed on the train<br/>
We'd stand by the window<br/>
Sweat through the hard parts of June<br/>
We hugged it out and ducked it on purpose<br/>
Nothing else I needed to do<br/>
<br/>
[Chorus]<br/>
I was born, born to beg for you<br/>
<br/>
[Verse 2]<br/>
Later that year in the back of the Warsaw<br/>
I thought you and I might be okay<br/>
Spinning and quiet<br/>
You leaned in against me<br/>
Said, ""I'm gonna have it all some day.""<br/>
<br/>
[Chorus]<br/>
I was born to beg for you<br/>
I was born, born to beg for you<br/>
<br/>
[Bridge]<br/>
I'd cry, crawl<br/>
I'd do it all<br/>
Teakettle love, I'd do anything<br/>
I'd cry, crawl<br/>
I'd do it all<br/>
Teakettle love, I'd do anything<br/>
<br/>
[Break]<br/>
New York is older<br/>
And changing its skin again<br/>
It dies every ten years<br/>
And then it begins again<br/>
If your heart was in it<br/>
I'd stay a minute<br/>
I'm dying to be taken apart<br/>
<br/>
[Chorus]<br/>
I was born to beg for you<br/>
I was born to beg for you<br/>
<br/>
[Bridge]<br/>
I'd cry, crawl<br/>
I'd do it all<br/>
Teakettle love, I'd do anything<br/>
I'd cry, crawl<br/>
I'd do it all<br/>
Teakettle love, I'd do anything</p>
<!--/sse-->
</div>"
The National,Sleep Well Beast,Turtleneck,0,"<div class=""lyrics"">
<!--sse-->
<p>[Verse 1]<br/>
Oh my Mother, let your daughter dance with me<br/>
I'd like to spin her wild around the cottonwood tree<br/>
There's something about her eyes, I think her roots are rotten<br/>
This must be the reason she wears her hair up in knots, oh no<br/>
<br/>
[Pre-Chorus]<br/>
This is so embarrassing<br/>
Ah, we're pissing fits<br/>
Crying on our doorsteps in t-shirts loose and ripped<br/>
Some of them so out of style I cannot save them<br/>
They'll just get whatever my salvation gave them<br/>
<br/>
[Chorus]<br/>
Keep the weed next to the bed<br/>
Light the water, check for lead<br/>
Dim the lights a little lower<br/>
Hide your backbone, shrug your shoulders<br/>
Give the gift that fits your head<br/>
You have to get this turtleneck<br/>
<br/>
[Verse 2]<br/>
The poor, they leave their cellphones in the bathrooms of the rich<br/>
And when they try to turn them off everything they switch to<br/>
Is just another man, in shitty suits, everybody's cheering for<br/>
This must be the genius we've been waiting years for, oh no<br/>
<br/>
[Pre-Chorus]<br/>
This is so embarrassing<br/>
Ah, we're pissing fits<br/>
Crying on our doorsteps in t-shirts loose and ripped<br/>
Some of them so out of style I cannot save them<br/>
They'll just get whatever my salvation gave them<br/>
<br/>
[Chorus]<br/>
Keep the weed next to the bed<br/>
Light the water, check for lead<br/>
Dim the lights a little lower<br/>
Hide your backbone, shrug your shoulders<br/>
Give the gift that fits your head<br/>
You have to get this turtleneck<br/>
<br/>
[Guitar solo]<br/>
<br/>
[Chorus]<br/>
Keep the weed next to the bed<br/>
Light the water, check for lead<br/>
Dim the lights a little lower<br/>
Hide your backbone, shrug your shoulders<br/>
Give the gift that fits your head<br/>
You have to get this turtleneck</p>
<!--/sse-->
</div>"
The National,Sleep Well Beast,Empire Line,0,"<div class=""lyrics"">
<!--sse-->
<p>[Verse 1]<br/>
You've been sleeping for miles<br/>
So what did you see?<br/>
Here the sky's been falling white flowers<br/>
And there's ice in all the trees<br/>
I've been tapping the table<br/>
I've been hoping to drink<br/>
There's a line that goes all the way from my childhood to you<br/>
<br/>
[Chorus]<br/>
Can't you find a way?<br/>
Can't you find a way?<br/>
You are in this too<br/>
Can't you find a way?<br/>
<br/>
[Verse 2]<br/>
I've been trying to see where you're going, but you're so hard to follow<br/>
And I don't think we're getting anywhere any time soon<br/>
We have so much to cover and I don't know what I'm expecting<br/>
You just keep saying so many things that I wish you won't<br/>
<br/>
[Chorus]<br/>
Can't you find a way?<br/>
Can't you find a way?<br/>
You are in this too<br/>
Can't you find a way?<br/>
<br/>
[Verse 3]<br/>
I've been talking about you to myself<br/>
Cause there's nobody else<br/>
And I want what I want<br/>
And I want everything<br/>
I want everything<br/>
I've been talking about you to myself<br/>
Cause there's nobody else<br/>
And I want what I want<br/>
And I want everything<br/>
I want everything<br/>
<br/>
[Chorus]<br/>
Can't you find a way?<br/>
Can't you find a way?<br/>
You are in this too<br/>
Can't you find a way?</p>
<!--/sse-->
</div>"
The National,Sleep Well Beast,Ill Still Destroy You,0,"<div class=""lyrics"">
<!--sse-->
<p>[Verse 1]<br/>
It's so easy to set off<br/>
The molecules and the caplets<br/>
They all have something against me<br/>
Nothing I do makes me feel different<br/>
<br/>
[Pre-Chorus 1]<br/>
This one's like your sister's best friends in a bath calling you to join them<br/>
Can't avoid them<br/>
This one's like your mother's arms when she was young and sunburned in the '80s<br/>
It lasts forever<br/>
<br/>
[Verse 2]<br/>
The more level they have me<br/>
The more I cannot stand me<br/>
I have helpless friendships<br/>
And bad taste in liquids<br/>
<br/>
[Pre-Chorus 2]<br/>
This one's like the wilderness without the world<br/>
I'm gonna miss those long nights with the windows open<br/>
I keep re-reading the same lines always up at 5am every morning<br/>
Like a baby<br/>
<br/>
[Chorus]<br/>
It's just the lights coming on<br/>
It's just the lights coming on<br/>
<br/>
[Verse 3]<br/>
I have no positions<br/>
No point of view or vision<br/>
I'm just trying to stay in touch with anything I'm still in touch with<br/>
<br/>
[Pre-Chorus 3]<br/>
The sky's getting white<br/>
I can't find a lighter anywhere I'm going crazy<br/>
But I'm not crazy<br/>
Put your heels against the wall<br/>
I swear you got a little bit taller since I saw you<br/>
I'll still destroy you<br/>
<br/>
[Chorus]<br/>
It's just the lights coming on<br/>
It's just the lights coming on</p>
<!--/sse-->
</div>"
The National,Sleep Well Beast,Guilty Party,0,"<div class=""lyrics"">
<!--sse-->
<p>[Verse 1]<br/>
You're sleeping night and day<br/>
How'd you do it<br/>
Me I am wide awake<br/>
Feeling defeated<br/>
<br/>
[Chorus]<br/>
I say your name<br/>
I say I'm sorry<br/>
I know it's not working<br/>
I'm no holiday<br/>
It's nobody's fault<br/>
No guilty party<br/>
We just got nothing<br/>
Nothing left to say<br/>
<br/>
[Verse 2]<br/>
Another year gets away<br/>
Another summer of love<br/>
I don't know why I care<br/>
We miss it every summer<br/>
<br/>
[Chorus]<br/>
I say your name<br/>
I say I'm sorry<br/>
I'm the one doing this<br/>
There's no other way<br/>
It's nobody's fault<br/>
No guilty party<br/>
I just got nothing<br/>
Nothing left to say<br/>
<br/>
It all, all catches up to me<br/>
It all, all catches up to me<br/>
All the time<br/>
<br/>
[Chorus]<br/>
I say your name<br/>
I say I'm sorry<br/>
I know it's not working<br/>
I'm no holiday<br/>
It's nobody's fault<br/>
No guilty party<br/>
We just got nothing<br/>
Nothing left to say<br/>
<br/>
I say your name<br/>
I say I'm sorry<br/>
I'm the one doing this<br/>
There's no other way<br/>
It's nobody's fault<br/>
No guilty party<br/>
I just got nothing<br/>
Nothing left to say<br/>
<br/>
It all, all just catches up to me<br/>
It all, all catches up to me<br/>
All the time</p>
<!--/sse-->
</div>"
The National,Sleep Well Beast,Carin At The Liquor Store,0,"<div class=""lyrics"">
<!--sse-->
<p>[Verse 1]<br/>
I was a worm, I was a creature<br/>
I get on the ground the second I'd see you<br/>
You cannot command your love<br/>
I wasn't a catch, I wasn't a keeper<br/>
I was walking around like I was the one who found dead John Cheever<br/>
Hand in glove<br/>
<br/>
[Chorus]<br/>
So blame it on me<br/>
I really don't care<br/>
It's a foregone conclusion<br/>
<br/>
[Verse 2]<br/>
I see you in stations and on invitations<br/>
You'd fall into rivers with friends on the weekends<br/>
Innocent skies above<br/>
Carin at the liquor store, I can't wait to see you<br/>
I'm walking around like I was the one who found dead John Cheever<br/>
In the house of love<br/>
<br/>
[Chorus]<br/>
So blame it on me<br/>
I really don't care<br/>
It's a foregone conclusion<br/>
It wasn't so bad, I wasn't that sick<br/>
Got taken by love, I wasn't that quick<br/>
Foregone conclusion<br/>
It's gonna be different after tonight<br/>
You're gonna see me in a different light<br/>
It's a foregone conclusion<br/>
<br/>
[Chorus]<br/>
So blame it on me<br/>
I really don't care<br/>
It's a foregone conclusion<br/>
I'm already seeing stars in the air<br/>
It's a foregone conclusion</p>
<!--/sse-->
</div>"
